document_id,page_no,seq,word,x0,y0,x1,y1,font_size,source_url
1,1,1,Incident,0.0,0.0,8.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,2,Report,9.0,0.0,15.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,3,24-000117,16.0,0.0,25.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,4,Portland,26.0,0.0,34.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,5,Police,35.0,0.0,41.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,6,Bureau,42.0,0.0,48.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,7,—,49.0,0.0,50.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,8,Incident,51.0,0.0,59.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,9,Report,60.0,0.0,66.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,10,Case,67.0,0.0,71.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,11,No.,72.0,0.0,75.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,12,24-000117,76.0,0.0,85.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,13,·,86.0,0.0,87.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,14,Report,88.0,0.0,94.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,15,date,95.0,0.0,99.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,16,2024-01-17,100.0,0.0,110.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,17,Subject,111.0,0.0,118.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,18,Name,119.0,0.0,123.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,19,Magnolia,124.0,0.0,132.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,20,Cronin,133.0,0.0,139.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,21,Date,140.0,0.0,144.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,22,of,145.0,0.0,147.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
1,1,23,Birth,148.0,0.0,153.0,12.0,12.0,http://127.0.0.1:8765/incident_report_24-000117.html
